date	3m	6m	12m
2026-04-14	2.243	2.475	2.767
2026-04-13	2.204	2.437	2.708
2026-04-10	2.198	2.453	2.715
2026-04-09	2.15	2.429	2.68
2026-04-08	2.162	2.525	2.86
2026-04-07	2.17	2.512	2.872
2026-04-02	2.103	2.458	2.799
2026-04-01	2.075	2.488	2.845
2026-03-31	2.079	2.475	2.87
2026-03-30	2.122	2.529	2.932
2026-03-27	2.127	2.504	2.86
2026-03-26	2.135	2.502	2.82
2026-03-25	2.135	2.518	2.812
2026-03-24	2.178	2.589	2.929
2026-03-23	2.129	2.468	2.74
2026-03-20	2.111	2.406	2.658
2026-03-19	2.108	2.317	2.524
2026-03-18	2.121	2.309	2.528
2026-03-17	2.148	2.333	2.547
2026-03-16	2.157	2.312	2.54
2026-03-13	2.157	2.289	2.522
2026-03-12	2.15	2.225	2.456
2026-03-11	2.122	2.173	2.369
2026-03-10	2.138	2.295	2.552
2026-03-09	2.078	2.178	2.367
2026-03-06	2.049	2.139	2.323
2026-03-05	2.046	2.136	2.316
2026-03-04	2.056	2.135	2.307
2026-03-03	2.035	2.12	2.232
2026-03-02	2.026	2.131	2.229
2026-02-27	2.013	2.128	2.222
2026-02-26	2.013	2.134	2.217
2026-02-25	2.011	2.139	2.208
2026-02-24	2.041	2.149	2.206
2026-02-23	2.034	2.145	2.205
2026-02-20	2.024	2.141	2.205
2026-02-19	2.024	2.137	2.198
2026-02-18	2.006	2.141	2.198
2026-02-17	2.011	2.159	2.216
2026-02-16	1.999	2.155	2.236
2026-02-13	1.999	2.147	2.248
2026-02-12	1.984	2.131	2.246
2026-02-11	1.994	2.108	2.231
2026-02-10	1.981	2.114	2.227
2026-02-09	1.982	2.132	2.222
2026-02-06	1.999	2.152	2.227
2026-02-05	2.02	2.172	2.225
2026-02-04	2.04	2.171	2.234
2026-02-03	2.029	2.161	2.225
2026-02-02	2.022	2.154	2.218
2026-01-30	2.031	2.158	2.226
2026-01-29	2.02	2.146	2.228
2026-01-28	2.026	2.149	2.246
2026-01-27	2.039	2.154	2.249
2026-01-26	2.038	2.156	2.247
2026-01-23	2.038	2.157	2.243
2026-01-22	2.03	2.149	2.216
2026-01-21	2.034	2.156	2.228
2026-01-20	2.027	2.151	2.236
2026-01-19	2.029	2.155	2.259
2026-01-16	2.033	2.143	2.248
2026-01-15	2.026	2.141	2.253
2026-01-14	2.016	2.146	2.251
2026-01-13	2.016	2.143	2.25
2026-01-12	2.02	2.13	2.249
2026-01-09	2.019	2.116	2.251
2026-01-08	2.031	2.114	2.247
2026-01-07	2.032	2.103	2.259
2026-01-06	2.026	2.104	2.261
2026-01-05	2.034	2.104	2.255
2026-01-02	2.029	2.105	2.245
